LapNum,driverName,Position,sector1,sector2,sector3,Laptime
1,PSG.LGD.STeven L2i,4,30.874,29.497,42.544,1:42.915
2,PSG.LGD.STeven L2i,4,23.934,29.206,42.425,1:35.565
3,PSG.LGD.STeven L2i,4,23.698,29.137,42.47,1:35.305
4,PSG.LGD.STeven L2i,4,23.845,29.366,42.584,1:35.795
5,PSG.LGD.STeven L2i,4,23.791,29.24,42.436,1:35.467
6,PSG.LGD.STeven L2i,4,23.836,29.31,42.481,1:35.627
7,PSG.LGD.STeven L2i,4,23.933,29.356,42.529,1:35.818
8,PSG.LGD.STeven L2i,3,23.698,29.185,42.697,1:35.580
9,PSG.LGD.STeven L2i,3,23.669,29.292,42.503,1:35.464
10,PSG.LGD.STeven L2i,3,23.893,29.294,42.604,1:35.791
11,PSG.LGD.STeven L2i,3,23.743,29.268,42.425,1:35.436
12,PSG.LGD.STeven L2i,3,23.786,29.263,42.48,1:35.529
13,PSG.LGD.STeven L2i,3,23.657,29.306,42.383,1:35.346
14,PSG.LGD.STeven L2i,4,23.657,29.306,42.383,1:35.346
15,PSG.LGD.STeven L2i,4,23.657,29.306,42.383,1:35.346
16,PSG.LGD.STeven L2i,4,23.831,29.264,42.382,1:35.477
17,PSG.LGD.STeven L2i,3,23.812,29.19,42.302,1:35.304
18,PSG.LGD.STeven L2i,3,23.813,29.195,42.495,1:35.503
19,PSG.LGD.STeven L2i,4,23.803,29.329,42.345,1:35.477
20,PSG.LGD.STeven L2i,4,23.827,29.121,42.387,1:35.335
21,PSG.LGD.STeven L2i,4,23.717,29.356,42.259,1:35.332
22,PSG.LGD.STeven L2i,4,23.658,29.229,42.32,1:35.207
23,PSG.LGD.STeven L2i,3,23.834,29.256,42.238,1:35.328
24,PSG.LGD.STeven L2i,3,23.842,29.255,01:01.8,1:54.918
25,PSG.LGD.STeven L2i,4,26.734,29.081,41.761,1:37.576
26,PSG.LGD.STeven L2i,4,23.597,28.973,42.541,1:35.111
27,PSG.LGD.STeven L2i,4,23.537,28.964,41.862,1:34.363
28,PSG.LGD.STeven L2i,4,23.532,29.397,41.888,1:34.817
29,PSG.LGD.STeven L2i,4,23.569,29.015,41.81,1:34.394
30,PSG.LGD.STeven L2i,4,23.592,28.771,41.692,1:34.055
31,PSG.LGD.STeven L2i,4,23.503,28.846,41.886,1:34.235
32,PSG.LGD.STeven L2i,4,23.605,28.998,41.736,1:34.339
33,PSG.LGD.STeven L2i,3,23.431,29.137,41.844,1:34.412
34,PSG.LGD.STeven L2i,3,23.312,29.226,41.65,1:34.188
35,PSG.LGD.STeven L2i,3,23.397,28.973,41.744,1:34.114
36,PSG.LGD.STeven L2i,3,23.441,29.111,41.663,1:34.215
37,PSG.LGD.STeven L2i,3,23.395,28.871,41.775,1:34.041
38,PSG.LGD.STeven L2i,3,23.547,28.958,41.642,1:34.147
39,PSG.LGD.STeven L2i,3,23.406,28.995,41.746,1:34.147
40,PSG.LGD.STeven L2i,3,23.473,28.859,41.496,1:33.828
41,PSG.LGD.STeven L2i,3,23.362,28.842,41.676,1:33.880
42,PSG.LGD.STeven L2i,3,23.398,28.871,41.572,1:33.841
43,PSG.LGD.STeven L2i,3,23.372,28.927,41.512,1:33.811
44,PSG.LGD.STeven L2i,3,23.451,28.938,41.425,1:33.814
45,PSG.LGD.STeven L2i,3,23.249,28.949,41.353,1:33.551
46,PSG.LGD.STeven L2i,3,23.252,28.854,41.421,1:33.527
47,PSG.LGD.STeven L2i,3,23.25,28.762,41.573,1:33.585
48,PSG.LGD.STeven L2i,3,23.335,28.762,41.363,1:33.460
49,PSG.LGD.STeven L2i,3,23.172,28.663,41.557,1:33.392
50,PSG.LGD.STeven L2i,3,23.312,28.856,41.497,1:33.665
51,PSG.LGD.STeven L2i,3,23.201,28.671,41.271,1:33.143
52,PSG.LGD.STeven L2i,3,23.31,28.845,41.332,1:33.487
53,PSG.LGD.STeven L2i,2,23.31,28.845,41.332,1:33.487
